Title,Price,Original Price,Discount (%),Rating,Reviews,Brand,Timestamp
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:03
OneAssist 1 Year Baggage Loss and Theft Protection Plan Between INR 2001-3000(E-Mail Delivery Only),199.0,398.0,50.0,5.0,1.0,OneAssist,2024-12-13 13:48:06
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:06
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:06
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:06
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:09
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:09
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:09
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:09
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:12
HIFFIN HF-999 Professional Portable Magnesium Aluminum Alloy Tripod Monopod with Detachable Ball Head and Pocket for Digital Camera and Camcorder (Black) (Professional Tripod with Monopod),8999.0,10999.0,18.18,4.0,274.0,HIFFIN,2024-12-13 13:48:12
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:12
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:12
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:15
Amazon Basics Premium Tempered Glass for Samsung Tab A9 Plus 11 inch Screen Protector Guard for Samsung Galaxy Tab A9 Plus / A9+ Tablet [SM-X210/X216] [Anti-Scratch] & [Smudge Proof],359.0,999.0,64.06,3.8,133.0,Amazon,2024-12-13 13:48:15
"DailyObjects 5 in 1 Capsule Gadget Cleaning Tool Kit | Multifunctional Two-way Brush Kit for Keyboard, Mouse & Earphones | Smart Gadget Cleaner Kit Set for Laptop, Computer, Camera Lens, Earbuds, Case",879.0,999.0,12.01,4.0,27.0,DailyObjects,2024-12-13 13:48:15
"HIFFIN (HF-600 RGB) Portable Light Wand Handheld RGB LED Stick Light for Photography, 2500K-9900K Adjustable, 24 Fx Light Effect, Power 24W, Barndoor, 5200mah in Built Battery",6499.0,9999.0,35.0,3.9,186.0,HIFFIN,2024-12-13 13:48:15
"Jabra Evolve 40 UC, Stereo, USB-C Corded Headset",10462.0,16900.0,38.09,3.5,19.0,Jabra,2024-12-13 13:48:18
